assigned gene	MIPS Description	p-value	p-value	p-value
YDR344C	hypothetical protein	3.30E-01	7.30E-01	7.00E-01
YDR345C	low-affinity hexose transporter	2.40E-02	1.50E-02	2.40E-03
YDR346C	similarity to hypothetical S.pombe protein	2.20E-01	1.20E-01	2.10E-01
YDR347W	"ribosomal protein of the small subunit, mitochondrial"	2.20E-01	1.20E-01	2.10E-01
YDR348C	similarity to hypothetical protein YHR097c	5.10E-01	5.70E-01	6.50E-01
YDR349C	GPI-anchored aspartic protease	1.30E-01	7.60E-01	3.30E-01
YDR350C	hypothetical protein	4.50E-01	8.10E-01	4.50E-01
YDR351W	bud growth protein	4.50E-01	8.10E-01	4.50E-01
YDR352W	"weak similarity to hypothetical proteins YOL092w, YBR147w and YMR010w"	1.10E-01	7.10E-01	4.70E-01
YDR353W	thioredoxin reductase (NADPH)	7.50E-01	8.20E-01	4.70E-01
YDR354W	anthranilate phosphoribosyltransferase	3.50E-01	8.40E-01	2.20E-01
YDR355C	questionable ORF	9.50E-02	5.30E-01	4.40E-01
YDR356W	spindle pole body component	4.60E-01	9.20E-01	1.80E-01
YDR357C	hypothetical protein	1.30E-01	3.80E-01	5.20E-01
YDR358W	Arf-binding protein; involved in trafficking of proteins	1.30E-01	3.80E-01	5.20E-01
YDR359C	weak similarity to human trichohyalin	7.80E-01	2.60E-02	6.70E-01
YDR360W	questionable ORF	2.40E-01	4.70E-01	4.90E-01
YDR361C	similarity to hypothetical protein S. pombe	1.30E-01	4.00E-01	4.30E-01
YDR362C	"TFIIIC (transcription initiation factor) subunit, 91 kD"	8.10E-01	8.20E-01	6.10E-01
YDR363W	involved in silencing	8.10E-01	8.20E-01	6.10E-01
YDR363W-A	regulator of exocytosis and pseudohyphal differentiation	8.30E-01	7.50E-01	5.70E-01
YDR364C	cell division control protein	5.40E-01	7.50E-01	5.50E-01
YDR365C	weak similarity to Streptococcus M protein	2.30E-01	6.90E-01	1.10E-01
YDR365W-A		2.30E-01	6.90E-01	1.10E-01
YDR365W-B		2.30E-01	6.90E-01	1.10E-01
YDR366C	similarity to YOL106w and YER181c	3.90E-01	1.00E+00	1.00E+00
YDR367W	similarity to hypothetical protein SPAC26H5.13c S. pombe	2.30E-01	6.90E-01	1.10E-01
YDR368W	strong similarity to members of the aldo/keto reductase family	3.90E-01	1.00E+00	1.00E+00
YDR369C	DNA repair protein	1.00E+00	6.80E-01	1.00E+00
YDR370C	hypothetical protein	1.60E-01	7.50E-01	4.60E-01
YDR371W	similarity to chitinases	1.60E-01	7.50E-01	4.60E-01
YDR372C	similarity to hypothetical S. pombe protein	1.50E-01	8.20E-01	9.30E-02
YDR373W	regulator of phosphatidylinositol-4-OH kinase protein	1.50E-01	8.20E-01	9.30E-02
YDR374C	similarity to hypothetical A. thaliana protein BAC F21M12	1.00E-01	5.00E-01	1.20E-01
YDR375C	mitochondrial protein of the CDC48/PAS1/SEC18 (AAA) family of ATPases	9.80E-02	7.20E-01	3.80E-01
YDR376W	mitochondrial protein with similarity to human adrenodoxin reductase and ferredoxin-NADP+ reductase	9.80E-02	7.20E-01	3.80E-01
YDR377W	"ATP synthase complex, subunit f"	4.60E-01	1.00E+00	9.20E-01
YDR378C	Sm-like (Lsm) protein	3.80E-01	6.00E-01	6.90E-01
YDR379W	similarity to Dbm1p and to the rat GAP-associated protein p190	3.80E-01	6.00E-01	6.90E-01
YDR380W	"similarity to PDC6P, THI3P and to pyruvate decarboxylases"	6.50E-01	7.20E-01	9.20E-01
YDR381W	RNA annealing protein	3.30E-01	1.40E-01	7.00E-01
YDR382W	60S large subunit acidic ribosomal protein	6.30E-01	4.40E-01	5.80E-01
YDR383C	weak similarity to S.pombe paramyosin	6.30E-01	8.20E-01	9.00E-01
YDR384C	strong similarity to Y.lipolytica GPR1 gene	1.60E-01	1.50E-01	3.30E-01
YDR385W	translation elongation factor eEF2	1.60E-01	1.50E-01	3.30E-01
YDR386W	involved in the repair of UV and methylation induced DNA damage	9.80E-01	2.10E-01	8.90E-01
YDR387C	similarity to ITR1P and ITR2P and E.coli araE	7.40E-01	9.20E-01	5.40E-01
YDR388W	reduced viability upon starvation protein	7.40E-01	9.20E-01	5.40E-01
YDR389W	suppressor of actin mutation	1.90E-01	1.70E-01	9.30E-01
YDR390C	E1-like (ubiquitin-activating) enzyme	6.50E-01	5.30E-01	9.20E-01
YDR391C	strong similarity to hypothetical protein YOR013w	7.00E-02	8.20E-01	3.70E-02
YDR392W	general transcriptional adaptor or co-activator	7.00E-02	8.20E-01	3.70E-02
YDR393W	weak similarity to rabbit trichohyalin	3.00E-01	3.60E-01	3.60E-01
YDR394W	26S proteasome regulatory subunit	1.50E-01	8.40E-01	2.10E-01
YDR395W	putative beta-karyopherin	7.30E-01	5.40E-01	5.20E-01
YDR396W	hypothetical protein	3.20E-02	5.20E-01	1.00E+00
YDR397C	functional homolog of human NC2beta/Dr1	1.10E-01	2.20E-01	5.10E-03
YDR398W	similarity to human KIAA0007 gene	1.10E-01	2.20E-01	5.10E-03
YDR399W	hypoxanthine guanine phosphoribosyl transferase	5.60E-01	2.50E-01	3.70E-01
YDR400W	uridine ribohydrolase (EC 3.2.2.1)	7.80E-01	5.40E-01	5.60E-01
YDR401W	questionable ORF	1.10E-01	3.70E-01	2.20E-01
YDR402C	cytochrome P450 56	2.30E-01	2.90E-01	2.20E-01
YDR403W	spore wall maturation protein	2.30E-01	2.90E-01	2.20E-01
YDR404C	"DNA-directed RNA polymerase II, 19 KD subunit"	6.90E-02	6.90E-01	3.60E-01
YDR405W	"ribosomal protein of the large subunit, mitochondrial"	6.90E-02	6.90E-01	3.60E-01
YDR406W	ATP-binding cassette transporter family member	3.80E-01	6.90E-01	2.60E-01
YDR407C	TRAPP subunit of 120 kDa involved in targeting and fusion of ER to golgi transport vesicles	1.90E-01	3.60E-01	2.10E-01
YDR408C	phosphoribosylglycinamide formyltransferase (GART)	6.20E-01	7.10E-01	3.20E-01
YDR409W	similarity to NFI1P	6.20E-01	7.10E-01	3.20E-01
YDR410C	farnesyl cysteine carboxyl-methyltransferase	9.00E-01	8.80E-01	7.20E-01
YDR411C	weak similarity to DER1P	1.30E-01	6.80E-01	2.00E-01
YDR412W	questionable ORF	1.30E-01	6.80E-01	2.00E-01
YDR413C	weak similarity to NADH dehydrogenase	8.80E-01	6.10E-01	1.00E+00
YDR414C	required for retention of luminal ER proteins	3.90E-01	5.20E-01	1.70E-01
YDR415C	strong similarity to bacterial leucyl aminopeptidase	7.10E-01	8.10E-01	1.60E-01
YDR416W	synthetic lethal with CDC40	7.10E-01	8.10E-01	1.60E-01
YDR417C	questionable ORF	7.50E-01	5.50E-01	5.30E-01
YDR418W	60S large subunit ribosomal protein L12.e	8.90E-01	8.40E-01	1.40E-01
YDR419W	DNA repair protein	7.50E-01	5.50E-01	5.30E-01
YDR420W	Hansenula MrakII k9 killer toxin-resistance protein	8.10E-01	4.20E-01	9.20E-01
YDR421W	positive transcription regulator of ARO9 and ARO10	4.30E-01	5.00E-01	7.80E-01
YDR422C	multicopy suppressor of SNF1	3.60E-01	1.40E-01	8.70E-01
YDR423C	transcriptional activator	3.80E-01	5.00E-01	1.00E+00
YDR424C	"dynein light chain 1, cytosolic"	5.70E-01	7.60E-01	6.30E-01
YDR425W	similarity to hypothetical protein YDL113c	5.70E-01	7.60E-01	6.30E-01
YDR426C	questionable ORF	1.10E-01	1.00E+00	4.60E-01
YDR427W	subunit of the regulatory particle of the proteasome	1.10E-01	1.00E+00	4.60E-01
YDR428C	weak similarity to predicted esterase of proteobacterium	3.70E-01	6.80E-01	5.90E-01
YDR429C	translation initiation factor eIF3 (p33 subunit)	2.30E-01	4.60E-01	1.00E+00
YDR430C	similarity to C.perfringens hypothetical hypA protein	1.40E-01	1.00E+00	6.90E-01
YDR431W	questionable ORF	2.30E-01	4.60E-01	1.00E+00
YDR432W	nucleolar protein	1.40E-01	1.00E+00	6.90E-01
YDR433W	questionable ORF	1.40E-01	1.00E+00	6.90E-01
YDR434W	similarity to S.pombe hypothetical protein	7.50E-01	8.50E-01	7.30E-01
YDR435C	similarity to PPM2P and hypothetical C.elegans protein	1.70E-01	4.00E-01	5.70E-01
YDR436W	protein ser/thr phosphatase of the PP-1 family	1.70E-01	4.00E-01	5.70E-01
YDR437W	weak similarity to DSCR5b H. sapiens	8.40E-01	7.40E-01	7.40E-01
YDR438W	strong similarity to hypothetical protein YML018c	8.40E-01	9.30E-01	9.20E-01
YDR439W	involved in rDNA silencing	4.80E-01	4.60E-01	4.90E-01
YDR440W	putative ATPase	2.20E-01	6.40E-01	4.60E-01
YDR441C	adenine phosphoribosyltransferase	8.20E-01	1.10E-04	9.90E-01
YDR442W	questionable ORF	8.20E-01	1.10E-04	9.90E-01
YDR443C	DNA-directed RNA polymerase II holoenzyme and Srb10 CDK subcomplex subunit	1.70E-01	5.30E-01	3.40E-01
YDR444W	similarity to hypothetical protein YGL144c and YDL109c	1.70E-01	5.30E-01	3.40E-01
YDR445C	questionable ORF	7.90E-01	5.20E-01	8.10E-01
YDR446W	involved in cell wall biogenesis and architecture	2.20E-01	3.50E-01	4.10E-01
YDR447C	ribosomal protein S17.e.B	7.50E-01	2.70E-01	5.30E-01
YDR448W	general transcriptional adaptor or co-activator	7.50E-01	2.70E-01	5.30E-01
YDR449C	similarity to hypothetical protein S. pombe	9.00E-01	2.90E-01	8.60E-01
YDR450W	ribosomal protein S18.e.c4	9.00E-01	2.90E-01	8.60E-01
YDR451C	strong similarity to YOX1P	7.70E-01	3.30E-08	8.90E-01
YDR452W	similarity to human sphingomyelin phosphodiesterase (PIR:S06957)	7.70E-01	3.30E-08	8.90E-01
YDR453C	strong similarity to thiol-specific antioxidant proteins	5.90E-01	1.90E-03	4.20E-01
YDR454C	guanylate kinase	9.10E-01	9.10E-01	9.20E-01
YDR455C	questionable ORF	4.00E-01	5.50E-02	2.50E-01
YDR456W	NA+-H+ antiporter	9.10E-01	9.10E-01	9.20E-01
YDR457W	E3 ubiqitin ligase required for G2/M transition	4.00E-01	5.50E-02	2.50E-01
YDR458C	similarity to hypothetical protein YML034w and YML033w	8.30E-01	6.80E-01	4.70E-01
YDR459C	weak similarity to YNL326c	7.00E-01	8.60E-01	1.80E-01
YDR460W	TFIIH subunit (transcription/repair factor)	7.00E-01	8.60E-01	1.80E-01
YDR461W	mating pheromone a-factor 1	3.40E-01	5.30E-01	2.90E-02
YDR462W	"ribosomal protein of the large subunit (YmL28), mitochondrial"	8.10E-01	9.80E-01	6.10E-01
YDR463W	"pre-tRNA splicing protein, transcription factor"	6.90E-01	1.00E+00	6.20E-01
YDR464W	negative regulator of PRP3 and PRP4 gene expression	9.80E-01	7.40E-01	9.20E-01
YDR465C	N-delta-arginine methyltransferase	7.30E-01	1.00E+00	5.60E-01
YDR466W	similarity to ser/thr protein kinase	7.30E-01	1.00E+00	5.60E-01
YDR467C	questionable ORF	9.20E-01	5.90E-01	1.00E+00
YDR468C	member of the syntaxin family of t-SNAREs	8.10E-01	8.00E-01	4.40E-01
YDR469W	weak similarity to D. melanogaster hypothetical protein	8.10E-01	8.00E-01	4.40E-01
YDR470C	similarity to chromosome segregation protein CSE1P	9.10E-01	9.50E-01	2.20E-01
YDR471W	60S large subunit ribosomal protein	9.10E-01	9.50E-01	2.20E-01
YDR472W	TRAPP subunit of 31 kDa involved in targeting and fusion of ER to golgi transport vesicles	7.20E-01	7.80E-01	3.90E-01
YDR473C	essential splicing factor	8.10E-02	7.00E-01	2.10E-01
YDR474C	similarity to C-terminal region of YOR019w	2.50E-01	9.50E-01	5.20E-01
YDR475C	weak similarity to N-terminal region of YOR019w	2.50E-01	8.20E-01	6.90E-01
YDR476C	hypothetical protein	4.90E-01	9.20E-01	8.50E-01
YDR477W	carbon catabolite derepressing ser/thr protein kinase	4.90E-01	9.20E-01	8.50E-01
YDR478W	RNA binding protein of RNase MRP	3.60E-01	8.80E-01	5.70E-01
YDR479C	weak similarity to YHR150w	3.40E-01	9.00E-01	6.30E-01
YDR480W	"MAP kinase-associated protein, down-regulator of invasive growth and mating"	3.40E-01	9.00E-01	6.30E-01
YDR481C	repressible alkaline phosphatase vacuolar	5.20E-01	5.10E-02	7.70E-01
YDR482C	hypothetical protein	1.10E-01	6.50E-01	2.30E-01
YDR483W	"alpha-1,2-mannosyltransferase"	1.10E-01	6.50E-01	2.30E-01
YDR484W	suppressor of actin mutation	3.90E-01	1.90E-01	7.40E-01
YDR485C	similarity to trichohyalin	5.70E-01	6.30E-01	5.50E-01
YDR486C	weak similarity to SNF7P	8.20E-01	5.90E-01	1.00E+00
YDR487C	"3,4-dihydroxy-2-butanone 4-phosphate synthase"	1.20E-01	1.70E-01	6.30E-01
YDR488C	required in the absence of CIN8P	1.30E-01	4.00E-01	2.20E-01
YDR489W	weak similarity to hypothetical protein S. pombe	1.30E-01	4.00E-01	2.20E-01
YDR490C	ser/thr protein kinases	4.40E-01	3.10E-01	7.50E-01
YDR491C	questionable ORF	5.30E-01	7.20E-01	8.90E-01
YDR492W	strong similarity to hypothetical protein YOL002c	4.40E-01	3.10E-01	7.50E-01
YDR493W	similarity to hypothetical protein Neurospora crassa	5.30E-01	7.20E-01	8.90E-01
YDR494W	weak similarity to hypothetical protein D. melanogaster	5.30E-01	4.20E-01	5.10E-01
YDR495C	vacuolar sorting protein	4.20E-01	3.30E-01	3.10E-01
YDR496C	similarity to hypothetical human and C.elegans proteins	5.20E-01	5.70E-01	5.90E-01
YDR497C	"myo-inositol permease, major"	4.40E-01	5.00E-01	3.50E-01
YDR498C	secretory pathway protein	7.80E-01	7.80E-01	4.20E-01
YDR499W	cell cycle checkpoint protein	7.80E-01	7.80E-01	4.20E-01
YDR500C	ribosomal protein L.37.e	6.60E-01	8.30E-07	2.70E-01
YDR501W	PLasmid Maintenance mutant shows 2mu-m plasmid instability	6.60E-01	8.30E-07	2.70E-01
YDR502C	S-adenosylmethionine synthetase 2	8.00E-01	6.90E-01	7.70E-01
YDR503C	lipid phosphate phosphatase	3.10E-01	3.20E-01	2.30E-01
YDR504C	similarity to hypothetical T.brucei protein	8.20E-01	8.20E-01	6.60E-01
YDR505C	high copy suppressor of ts mutations in DNA polymerase alpha	8.20E-01	8.20E-01	6.60E-01
YDR506C	"similarity to FET3, YFL041w and F.floriforme diphenol oxidase"	8.00E-01	5.30E-01	4.20E-01
YDR507C	ser/thr protein kinase	9.00E-01	6.10E-06	9.20E-01
YDR508C	high-affinity glutamine permease	5.40E-01	3.80E-03	8.40E-01
YDR509W	questionable ORF	9.00E-01	6.10E-06	9.20E-01
YDR510W	ubiquitin-like protein	5.40E-01	3.80E-03	8.40E-01
YDR511W	weak similarity to C. elegans protein F25H9.7 and to the human complement 3 precursor	4.10E-01	2.90E-02	4.60E-01
YDR512C	questionable ORF	6.00E-01	1.00E+00	6.50E-01
YDR513W	glutaredoxin	5.00E-01	7.30E-03	1.00E+00
YDR514C	strong similarity to hypothetical protein YCL036w	4.50E-01	5.30E-01	4.30E-01
YDR515W	La motif-containing proteins that modulate mRNA translation	4.50E-01	5.30E-01	4.30E-01
YDR516C	strong similarity to glucokinase	4.60E-01	7.00E-01	3.80E-01
YDR517W	Yeast (GR)ASP65 (H)omologue	4.60E-01	7.00E-01	3.80E-01
YDR518W	protein disulfide isomerase	8.70E-01	5.70E-01	3.70E-01
YDR519W	FK506/rapamycin-binding protein of the ER	4.80E-01	5.20E-01	3.70E-01
YDR520C	weak similarity to transcription factors of the zinc finger class	2.60E-01	3.10E-01	4.00E-01
YDR521W	questionable ORF	8.50E-01	7.10E-01	5.00E-01
YDR522C	sporulation-specific protein	1.70E-01	1.00E+00	1.00E+00
YDR523C	ser/thr protein kinase	2.70E-01	4.50E-01	5.00E-01
YDR524C	similarity to ADP-ribosylation factor (ARF) GTPase activating protein (GAP) with effector functions	7.60E-01	1.70E-02	6.60E-01
YDR525W	hypothetical protein	7.60E-01	1.70E-02	6.60E-01
YDR525W-A	similarity to other hypothetical proteins in yeast	4.80E-06	1.70E-08	9.30E-03
YDR526C	questionable ORF	7.50E-02	5.50E-05	2.30E-01
YDR527W	weak similarity to Plasmodium yoelii rhoptry protein	6.50E-01	1.40E-01	3.60E-01
YDR528W	similarity to LRE1P	2.30E-01	5.70E-02	3.30E-02
YDR529C	ubiquinol--cytochrome-c reductase subunit 7	4.40E-01	2.00E-01	4.50E-01
YDR530C	ATP adenylyltransferase II	2.10E-01	4.00E-01	8.00E-01
YDR531W	similarity to hypothetical A. thaliana and C. elegans proteins	2.10E-01	4.00E-01	8.00E-01
YDR532C	weak similarity Plasmodium repeat organellar protein	3.90E-01	4.70E-01	4.60E-01
YDR533C	"strong similarity to hypothetical proteins YPL280w, YOR391c and YMR322c"	1.00E-01	2.40E-01	8.30E-01
YDR534C	"similarity to YOR383c,Sta1p and pig mucin"	8.40E-01	6.00E-01	8.00E-01
YDR535C	hypothetical protein	2.50E-01	1.90E-01	7.90E-01
YDR536W	member of the sugar permease family	2.50E-01	1.90E-01	7.90E-01
YDR537C	questionable ORF	3.30E-01	4.20E-01	5.20E-01
YDR538W	phenylacrylic acid decarboxylase	2.00E-01	8.00E-01	6.30E-01
YDR539W	similarity to E.coli hypothetical 55.3 kDa protein in rfah-rfe intergenic region	3.30E-01	4.20E-01	5.20E-01
YDR540C	similarity to E. coli unknown gene	6.70E-01	6.20E-01	6.00E-01
YDR541C	similarity to dihydroflavonol-4-reductases	5.00E-01	6.90E-01	2.60E-01
YDR542W	strong similarity to subtelomeric encoded proteins	4.60E-01	9.30E-01	7.30E-02
YDR543C	strong similarity to subtelomeric encoded proteins	9.70E-01	9.70E-01	1.20E-07
YDR544C	strong similarity to subtelomeric encoded proteins	9.20E-01	2.20E-01	1.00E-02
YDR545W	Y'-helicase protein 1	9.20E-01	2.20E-01	1.00E-02
YEL001C	hypothetical protein	9.60E-01	1.50E-01	9.80E-01
YEL002C	oligosaccharyl transferase beta subunit precursor	1.60E-01	4.00E-02	3.10E-01
YEL003W	Gim complex component	8.80E-03	9.90E-02	4.10E-01
YEL004W	strong similarity to K.lactis golgi uridine diphosphate-N-acetylglucosamine transporter	4.10E-01	6.10E-01	7.00E-01
YEL005C	VAC8P binding protein of 31 kDa	4.10E-01	6.10E-01	7.00E-01
YEL006W	similarity to peroxisomal membrane and mitochondrial carrier proteins	9.70E-01	3.00E-01	8.20E-01
YEL007W	similarity to S.pombe PAC2 protein	9.50E-05	1.70E-02	6.40E-02
YEL008W	hypothetical protein	9.30E-01	3.30E-01	1.00E+00
YEL009C	transcriptional activator of amino acid biosynthetic genes	9.30E-01	3.30E-01	1.00E+00
YEL010W	hypothetical protein	3.70E-01	5.40E-02	8.10E-01
YEL011W	"1,4-glucan branching enzyme (glycogen branching enzyme)"	4.50E-01	8.90E-01	9.30E-01
YEL012W	E2 ubiquitin-conjugating enzyme	7.40E-01	3.90E-01	3.60E-01
YEL013W	required for vacuole inheritance and protein targeting from the cytoplasm to vacuole	4.30E-01	1.00E+00	1.00E+00
YEL014C	hypothetical protein	4.30E-01	1.00E+00	1.00E+00
YEL015W	weak similarity to SPA2P	3.90E-02	2.80E-01	1.00E+00
YEL016C	similarity to human nucleotide pyrophosphatase	3.90E-02	2.80E-01	1.00E+00
YEL017C-A	"H+-ATPase subunit, plasma membrane"	3.50E-01	1.80E-02	7.70E-01
YEL017W	hypothetical protein	3.50E-01	1.80E-02	7.70E-01
YEL018W	weak similarity to RAD50P	3.50E-01	1.00E+00	1.00E+00
YEL019C	DNA repair protein	3.50E-01	1.00E+00	1.00E+00
YEL020C	similarity to O.formigenes oxalyl-CoA decarboxylase	3.80E-01	6.00E-01	1.00E+00
YEL020W-A	essential subunit of the TIM22-complex for mitochondrial protein import	6.20E-01	4.90E-01	1.50E-01
YEL021W	orotidine-5'-phosphate decarboxylase	6.20E-01	4.90E-01	1.50E-01
YEL022W	GDP/GTP exchange factor for ARF	8.40E-01	7.70E-01	4.80E-01
YEL023C	similarity to hypothetical protein PA2063 - Pseudomonas aeruginosa	8.40E-01	7.70E-01	4.80E-01
YEL024W	ubiquinol--cytochrome-c reductase iron-sulfur protein precursor	9.00E-01	5.80E-01	1.00E+00
YEL025C	hypothetical protein	9.00E-01	5.80E-01	1.00E+00
YEL026W	component of the U4/U6.U5 snRNP	9.60E-01	7.00E-01	9.60E-01
YEL027W	"H+-ATPase V0 domain 17 KD subunit, vacuolar"	7.10E-01	3.40E-01	9.50E-01
YEL028W	hypothetical protein	5.90E-01	9.10E-01	3.90E-02
YEL029C	similarity to hypothetical protein YNR027w	5.90E-01	9.10E-01	3.90E-02
YEL030W	heat shock protein of HSP70 family	3.60E-01	4.20E-01	4.50E-01
YEL031W	P-type ATPase	3.50E-01	4.60E-01	4.90E-02
YEL032W	replication initiation protein	8.20E-01	4.20E-01	5.20E-01
YEL033W	weak similarity to Sauroleishmania mitochondrial hypothetical ORF-5 protein	7.80E-01	7.60E-01	3.40E-01
YEL034W	translation initiation factor eIF5A.1	7.80E-01	7.60E-01	3.40E-01
YEL035C	weak similarity to Neisseria gonorrhoeae PilG protein	7.80E-01	7.60E-01	3.40E-01
YEL036C	required for protein glycosylation in the golgi	8.10E-01	1.70E-01	4.60E-01
YEL037C	nucleotide excision repair protein (ubiquitin-like protein)	2.80E-01	7.70E-01	3.40E-01
YEL038W	similarity to K.oxytoca enolase-phosphatase E-1	1.60E-01	4.30E-02	1.90E-01
YEL039C	cytochrome-c isoform 2	1.60E-01	4.30E-02	1.90E-01
YEL040W	cell wall protein	2.20E-01	3.20E-07	5.40E-01
YEL041W	strong similarity to UTR1P	6.30E-01	2.70E-01	5.90E-01
YEL042W	guanosine diphosphatase	3.10E-01	1.20E-01	5.80E-01
YEL043W	weak similarity to MAD1P	7.10E-01	4.80E-01	5.20E-01
YEL044W	similarity to SPAC222.04c hypothetical protein S. pombe	1.60E-01	8.10E-02	5.00E-02
YEL045C	weak similarity to cytochrome c oxidase III of T.brucei kinetoplast	1.60E-01	8.10E-02	5.00E-02
YEL046C	"L-threonine aldolase, low-specific"	1.60E-01	8.10E-02	5.00E-02
YEL047C	"soluble fumarate reductase, cytoplasmic"	8.50E-01	6.30E-01	7.70E-01
YEL048C	weak similarity to trp-asp repeat protein - S. pombe	4.60E-02	4.30E-01	4.40E-01
YEL049W	strong similarity to members of the SRP1P/TIP1P family	2.80E-01	6.90E-01	5.00E-01
YEL050C	"ribosomal L2 protein, mitochondrial"	2.20E-01	6.20E-01	2.60E-01
YEL051W	"H+-ATPsynthase V1 domain 32 KD subunit, vacuolar"	2.20E-01	5.80E-01	2.40E-01
YEL052W	ATPase family gene	5.70E-01	8.50E-01	9.40E-01
YEL053C	glucose-repressible protein	5.70E-01	8.50E-01	9.40E-01
YEL054C	60S large subunit ribosomal protein L12.e	6.50E-01	6.90E-01	2.30E-01
YEL055C	DNA polymerase V	7.60E-01	5.50E-01	7.50E-01
YEL056W	subunit of the major yeast histone acetyltransferase	5.20E-01	9.60E-01	7.70E-01
YEL057C	hypothetical protein	5.20E-01	9.60E-01	7.70E-01
YEL058W	phosphoacetylglucosamine mutase	4.80E-02	6.80E-01	6.30E-01
YEL059C-A	required for mitochondrial IMP1 peptidase function	4.80E-02	6.80E-01	6.30E-01
YEL059W	hypothetical protein	7.10E-02	1.50E-01	4.50E-01
YEL060C	"protease B, vacuolar"	7.10E-02	1.50E-01	4.50E-01
YEL061C	kinesin-related protein	7.80E-02	6.00E-02	8.90E-01
YEL062W	nitrogen permease regulator	7.50E-01	2.60E-01	7.90E-01
YEL063C	amino acid permease	7.50E-01	2.60E-01	7.90E-01
YEL064C	similarity to YBL089w	3.00E-01	4.90E-01	3.60E-01
YEL065W	probable multidrug resistance protein	3.00E-01	6.80E-01	2.90E-01
YEL066W	histone and other protein acetyltransferase	5.80E-01	6.60E-01	1.00E+00
YEL067C	weak similarity to YKL083w	3.00E-01	6.80E-01	2.90E-01
YEL068C	hypothetical protein	5.80E-01	6.60E-01	1.00E+00
YEL069C	high-affinity hexose transporter	4.60E-01	5.30E-01	2.20E-01
YEL070W	strong similarity to E.coli D-mannonate oxidoreductase	8.80E-01	7.80E-01	6.20E-01
YEL071W	D-lactate dehydrogenase	8.20E-01	8.80E-01	7.90E-01
YEL072W	hypothetical protein	6.80E-01	5.60E-01	6.10E-01
YEL073C	similarity to YJR108w	3.20E-01	2.40E-01	1.40E-02
YEL074W	similarity to subtelomeric encoded proteins	4.30E-01	3.40E-01	4.50E-01
YEL075C	strong similarity to subtelomeric encoded proteins	4.30E-01	3.40E-01	4.50E-01
YEL076C		4.30E-01	3.40E-01	4.50E-01
YEL076C-A		4.30E-01	3.40E-01	4.50E-01
YEL076W-C		9.00E-02	3.60E-01	2.00E-06
YEL077C	strong similarity to subtelomeric encoded proteins	9.00E-02	3.60E-01	2.00E-06
YER001W	"alpha-1,3-mannosyltransferase"	8.80E-01	1.90E-06	9.60E-01
YER002W	weak similarity to chicken microfibril-associated protein	8.70E-01	2.50E-01	8.70E-01
YER003C	mannose-6-phosphate isomerase	9.20E-01	5.30E-02	9.70E-01
YER004W	similarity to hypothetical E.coli and C.elegans proteins	9.20E-01	5.30E-02	9.70E-01
YER005W	Yeast Nucleoside Diphosphatase	3.50E-01	3.30E-01	3.60E-01
YER006W	similarity to P.polycephalum myosin-related protein mlpA	3.30E-01	7.60E-02	7.90E-01
YER007C-A	strong similarity to C.elegans AF045640 and S.pombe SPBC31F10	3.60E-01	4.40E-01	1.70E-01
YER007W	involved in the stabilization of microtubles	8.10E-01	2.30E-01	5.00E-01
YER008C	component of exocyst complex	1.50E-01	2.40E-01	3.80E-01
YER009W	nuclear transport factor	1.50E-01	2.40E-01	3.80E-01
YER010C	similarity to L.pneumophila dlpA protein	5.50E-01	5.70E-01	5.00E-01
YER011W	"cold-shock induced protein of the TIR1P,TIP1P family"	8.60E-01	4.70E-03	9.60E-01
YER012W	20S proteasome subunit C11(beta4)	6.20E-01	6.50E-01	8.10E-02
YER013W	pre-mRNA splicing factor	6.30E-01	3.60E-01	4.40E-01
YER014W	"protoporphyrinogen oxidase, mitochondrial"	6.10E-01	5.90E-01	7.50E-02
YER015W	long-chain-fatty-acid--CoA ligase	4.50E-01	5.80E-01	5.40E-01
YER016W	binding to microtubules	8.20E-01	7.30E-01	1.80E-01
YER017C	protease of the SEC18/CDC48/PAS1 family of ATPases (AAA)	5.10E-01	1.00E+00	1.00E+00
YER018C	spindle pole body protein	1.70E-01	1.00E+00	1.00E+00
YER019C-A	ER protein-translocation complex subunit	3.80E-01	6.70E-01	4.30E-01
YER019W	weak similarity to human and mouse neutral sphingomyelinase	1.70E-01	1.00E+00	1.00E+00
YER020W	guanine nucleotide-binding regulatory protein	3.80E-01	6.70E-01	4.30E-01
YER021W	26S proteasome regulatory subunit	8.20E-01	7.30E-01	7.80E-01
YER022W	DNA-directed RNA polymerase II holoenzyme and Kornberg's mediator (SRB) subcomplex subunit	2.70E-01	1.00E+00	1.00E+00
YER023W	delta 1-pyrroline-5-carboxylate reductase	2.70E-01	5.90E-01	8.30E-01
YER024W	carnitine O-acetyltransferase	6.70E-01	5.10E-01	1.00E+00
YER025W	translation initiation factor eIF2 gamma chain	6.30E-01	8.20E-01	1.00E+00
YER026C	CDP-diacylglycerol serine O-phosphatidyltransferase	3.80E-01	3.00E-01	1.00E+00
YER027C	glucose repression protein	1.10E-01	5.30E-01	6.10E-01
YER028C	similarity to MIG1P	2.90E-01	1.30E-01	5.30E-01
YER029C	associated with U1 snRNP as part of the Sm-core that is common to all spliceosomal snRNPs	1.70E-01	6.50E-01	5.90E-01
YER030W	similarity to mouse nucleolin	1.70E-01	6.50E-01	5.90E-01
YER031C	GTP-binding protein of the rab family	7.00E-02	1.00E-01	7.90E-01
